stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
CANO,CANO,Canora,,51.637535,-102.435783,Canada/Saskatchewan
STGS,STGS,Sturgis,,51.938098,-102.543222,Canada/Saskatchewan
ENDV,ENDV,Endeavour,,52.158309,-102.6524469,Canada/Saskatchewan
RSRV,RSRV,Reserve,,52.4708879,-102.6473081,Canada/Saskatchewan
HBAY,HBAY,Hudson Bay,,52.8632929,-102.3967134,Canada/Saskatchewan
TPAS,TPAS,The Pas,,53.823964,-101.247541,Canada/Central
OROK,OROK,Orok,,53.95780260508772,-101.05859756469727,Canada/Central
HALC,HALC,Halcrow,,54.175608,-100.630658,Canada/Central
CORM,CORM,Cormorant,,54.2234529,-100.6025866,Canada/Central
DERI,DERI,Dering,,54.252945,-100.5375101,Canada/Central
DYCE,DYCE,Dyce,,54.36448317868961,-100.17012119293213,Canada/Central
WEKU,WEKU,Wekusko,,54.5032988,-99.7527071,Canada/Central
TURN,TURN,Turnbull,,54.565692619111914,-99.48072910308838,Canada/Central
PNTN,PNTN,Ponton,,54.642871,-99.16161,Canada/Central
